KLHL21,LZIC,NLRP6,MIR4537,HBA1,NFIX,JUND,MIR663AHG,MIR5009,PXK,KANTR,Results
408.3789487,119.0824941,162.8133535,12.7828666,422.5073802,173.5778728,294.6787142,956.0238652,1,297.3698441,102.2629328,1
253.3197731,118.4352186,81.15005718,16.44933592,87.72979155,100.8892603,276.3488434,652.4903246,1,233.58057,103.0825051,1
532.4446403,122.6867921,180.4217531,4.81124675,258.2035756,139.5261557,255.7979522,230.1379695,1,304.7122942,83.39494366,1
391.0745683,132.3637,409.1241638,2.406612728,93.85789639,57.75870547,175.6827291,454.8498056,1,204.5620819,50.53886729,1
399.819591,139.6018125,136.251369,13.401774,751.6161585,211.0779405,243.465561,64.775241,2.233629,385.3010025,80.410644,1
431.6825641,135.1808722,197.1698909,26.8868033,842.4531701,203.1447361,289.0331355,424.9608633,1.493711295,297.2485476,79.16669861,1
338.6340708,110.0722601,122.3744539,19.42451649,325.0369093,71.22322713,171.583229,380.0730393,1,288.1303279,75.10813043,1
369.0346746,80.72633507,196.0496709,11.53233358,98751.37245,749.6016828,380.5670082,2387.193051,1,322.9053403,69.19400149,1
256.4293024,158.3172215,145.4957563,12.82146512,127.6571962,52.95822549,173.3685066,342.8348282,1,307.1577078,60.76259556,1
566.3539998,116.8666984,171.9288928,13.48461904,402.2911348,187.6609484,311.2699563,1415.885,1,206.7641587,74.16540474,1
333.7185059,109.7758243,84.30783308,13.17309892,432.0776445,121.1925101,275.7568707,971.2964936,1,249.4106729,68.50011438,1
306.4786083,137.2768766,257.5271639,3.192485503,55.33641539,62.78554824,218.1531761,226.6664707,1,274.5537533,73.42716658,1
339.8626437,155.7703784,169.9313219,28.32188698,165229.8886,481.4720786,892.1394398,2209.107184,1,368.1845307,56.64377395,1
321.6298536,118.6762561,139.315605,6.019810093,623.4803311,100.6168258,197.7937602,600.2610636,1,276.9112643,92.01709714,1
215.0465588,119.4703105,82.30176944,5.309791576,56.63777682,25.66399262,153.9839557,467.2616587,1,187.6126357,76.1070126,1
487.4461209,116.3919822,222.2824322,8.313713014,228.8458898,165.3991326,328.610446,508.0116215,1,226.6580706,37.63049048,1
309.1477909,157.3843299,230.4556259,22.4834757,33860.11441,50.58782033,275.4225774,1382.733756,1,224.834757,78.69216496,1
254.3137316,138.8805485,122.6477571,3.607286973,55.91294809,97.39674828,120.8441136,23.44736533,5.41093046,259.7246621,82.96760038,1
393.7534201,88.24229188,120.1281621,13.34757356,458.2666923,72.67012273,254.3454295,1357.003312,1,267.6930031,73.41165459,1
394.3591134,117.3561973,282.2892313,1.057263039,901.845372,51.8058889,182.9065057,463.081211,1,227.3115533,48.63409978,1
235.2632116,112.1505632,67.45898541,3.37294927,29.51330612,64.92927345,94.44257957,86.01020639,1,193.1013457,99.50200347,1
474.0517692,138.0380631,139.2489233,6.054301011,606.6409613,97.47424628,278.4978465,309.9802118,1,347.516878,78.10048304,1
330.3584143,117.0775699,232.3399837,3.630312245,1132.65742,311.299275,408.4101276,1056.420863,1.815156123,190.5913929,84.4047597,1
407.3633492,118.4761932,180.1487321,8.926288528,624.8401969,135.5172895,278.3379059,835.0137177,1,294.5675214,73.84475055,1
308.9096224,118.4858826,242.61395,15.51600843,7327.787619,167.8550003,348.4049166,1056.49912,1.410546221,289.1619753,64.88512618,1
1136.36105,126.8752628,665.6354369,8.274473663,467.048069,182.0384206,422.9175428,412.8042972,1,707.9271911,78.14780681,1
222.8792296,129.0353434,41.05670019,5.865242884,1274.712787,82.11340037,211.1487438,737.0655224,1,224.8343105,105.5743719,1
