HES5,KLHL21,LZIC,CASZ1,EIF2B3,NHLH2,FCRLA,ARID4B,GHITM,FBXW4,MIR3663HG,NLRP6,PHF21A,SF1,TMEM134,TRIM29,PABPN1,SPTB,MIR4537,HBA1,SNX29P1,KIAA0556,KAT8,CLEC18C,CTDNEP1,NFIX,JUND,MAU2,ERCC2,TMEM160,MED25,ZNF582,MIR663AHG,MIR663A,HSPA13,DGCR10,SELO,VHL,PXK,ZBTB20-AS1,LOC101243545,MAP1B,RBM22,LOC202181,NT5C3A,RALA,TAS2R5,SCRIB,KANTR,MIR6087,Results
1,408.3789487,119.0824941,39.6941647,67.95102771,1,92.17119601,1163.913643,958.714995,168.1956132,1,162.8133535,447.400331,495.8406676,41.71251206,4.036694716,14.80121396,995.7180299,12.7828666,422.5073802,10.09173679,168.1956132,229.4188163,1,135.229273,173.5778728,294.6787142,294.6787142,24.89295075,24.22016829,147.3393571,22.20182094,956.0238652,252.2934197,202.5075182,1,121.7736239,599.4491653,297.3698441,45.07642433,26.23851565,474.3116291,192.4157814,87.46171884,349.8468754,111.0091047,12.7828666,93.51676091,102.2629328,1324.035867,1
1,253.3197731,118.4352186,21.93244789,84.43992437,3.289867183,245.6434163,1383.937462,1178.869074,178.7494503,1,81.15005718,327.8900959,314.7306272,42.76827338,1.096622394,7.67635676,505.5429238,16.44933592,87.72979155,26.31893746,133.7879321,279.6387106,3.289867183,83.34330197,100.8892603,276.3488434,160.1068696,21.93244789,29.60880465,117.3385962,18.6425807,652.4903246,289.5083121,275.252221,1.096622394,125.014953,745.7032282,233.58057,46.05814056,15.35271352,195.1987862,165.5899815,69.08721084,424.3928666,132.6913097,14.25609113,48.25138535,103.0825051,332.2765855,1
2.405623375,532.4446403,122.6867921,60.14058437,73.77245016,4.81124675,77.78182245,1048.851791,962.2493499,149.1486492,3.207497833,180.4217531,449.0496966,505.1809087,43.30122075,11.22624242,22.45248483,1143.472978,4.81124675,258.2035756,8.820619041,249.3829565,278.250437,1,112.2624242,139.5261557,255.7979522,327.9666534,34.48060171,9.622493499,217.3079782,23.25435929,230.1379695,105.8474285,251.7885799,1,146.7430259,687.2064108,304.7122942,31.27310387,21.65061037,212.4967314,242.1660864,77.78182245,258.2035756,121.8849177,16.03748917,83.39494366,83.39494366,743.3376228,1
1,391.0745683,132.3637,19.25290182,73.4016882,1,77.0116073,1872.344702,1472.84699,105.89096,2.406612728,409.1241638,369.4150538,251.4910301,46.9289482,2.406612728,24.06612728,510.2018983,2.406612728,93.85789639,6.01653182,133.5670064,305.6398165,1,85.43475184,57.75870547,175.6827291,243.0678855,19.25290182,16.8462891,110.7041855,43.3190291,454.8498056,204.5620819,392.2778747,1,151.6166019,720.780512,204.5620819,19.25290182,19.25290182,13.23637,232.2381283,52.94548002,635.3457602,125.1438619,2.406612728,50.53886729,50.53886729,354.9753774,1
1.1168145,399.819591,139.6018125,59.1911685,61.4247975,4.467258,171.989433,1322.308368,1269.818087,147.419514,6.700887,136.251369,579.6267255,454.5435015,34.6212495,14.5185885,8.934516,1810.356305,13.401774,751.6161585,17.869032,211.0779405,217.7788275,2.233629,110.5646355,211.0779405,243.465561,238.998303,41.3221365,7.8177015,147.419514,26.803548,64.775241,12.2849595,214.428384,1.1168145,107.214192,593.0284995,385.3010025,49.139838,33.504435,293.7222135,195.4425375,83.7610875,367.4319705,119.4991515,12.2849595,83.7610875,80.410644,260.2177785,1
1,431.6825641,135.1808722,52.27989531,53.7736066,2.240566942,168.0425206,1316.706506,1076.965843,143.3962843,2.240566942,197.1698909,443.6322545,533.2549321,50.78618401,7.468556473,14.93711295,1347.327588,26.8868033,842.4531701,20.16510248,209.8664369,236.7532402,4.481133884,99.33180109,203.1447361,289.0331355,290.5268468,35.10221542,19.41824683,214.3475708,29.12737024,424.9608633,141.902573,277.0834451,1,126.96546,711.0065762,297.2485476,35.10221542,32.86164848,368.9466897,209.1195812,82.1541212,414.5048842,136.6745834,17.17767989,82.1541212,79.16669861,483.2156038,1
1,338.6340708,110.0722601,36.25909745,84.17290479,1,219.4970363,1197.1977,898.7076296,172.2307129,1,122.3744539,361.2960067,569.1383331,32.37419415,1,15.53961319,755.6136914,19.42451649,325.0369093,29.78425862,170.9357451,246.0438755,1,93.88516303,71.22322713,171.583229,253.8136821,33.02167803,12.94967766,132.0867121,29.78425862,380.0730393,91.2952275,252.5187144,1,101.6549696,755.6136914,288.1303279,31.07922638,25.25187144,205.8998748,196.1876165,60.863485,266.1158759,135.3241315,22.6619359,108.7772923,75.10813043,451.9437503,1
1,369.0346746,80.72633507,46.12933432,46.12933432,1,69.19400149,1072.507023,1245.492027,230.6466716,1,196.0496709,542.0196783,691.9400149,11.53233358,11.53233358,34.59700074,1107.104024,11.53233358,98751.37245,1,161.4526701,207.5820045,1,115.3233358,749.6016828,380.5670082,403.6316753,69.19400149,34.59700074,357.502341,34.59700074,2387.193051,922.5866865,196.0496709,1,230.6466716,645.8106805,322.9053403,46.12933432,34.59700074,378514.2528,92.25866865,138.388003,369.0346746,92.25866865,23.06466716,69.19400149,69.19400149,1078227.06,1
1,256.4293024,158.3172215,16.72365015,113.163366,1,302.6980678,1519.064889,1167.310781,149.9553964,1,145.4957563,242.4929272,289.3191477,51.84331548,1,10.5916451,227.9990971,12.82146512,127.6571962,21.18329019,85.29061578,234.6885572,1,63.54987058,52.95822549,173.3685066,141.0361163,15.60874014,25.64293024,47.94113044,69.12442064,342.8348282,142.1510263,632.1539758,1.11491001,104.801541,724.1340517,307.1577078,19.51092518,82.50334076,134.3466562,190.0921567,83.06079576,696.8187564,257.5442124,9.476735087,39.57930536,60.76259556,247.5100223,1
1,566.3539998,116.8666984,68.54681347,50.56732141,1,96.63976981,1197.883658,1143.945182,194.4032579,1,171.9288928,374.1981785,459.6007657,30.34039285,1,14.6083373,1595.67992,13.48461904,402.2911348,12.36090079,198.8981309,356.2186864,1,77.5365595,187.6609484,311.2699563,323.6308571,35.95898412,24.72180158,244.9705793,20.22692857,1415.885,312.3936745,216.877623,2.247436507,162.9391468,812.4482974,206.7641587,39.33013888,31.4641111,843.9124085,182.0423571,65.17565871,318.0122658,129.2275992,12.36090079,105.6295158,74.16540474,807.9534244,1
