ILMN_1654609,ILMN_1657898,ILMN_1671005,ILMN_1680347,ILMN_1717229,ILMN_1755911,ILMN_1767168,ILMN_1794233,ILMN_1803561,ILMN_1812970,ILMN_2159384,ILMN_2165762,Results
13.16,8.9263,11.431,10.9665,9.7426,8.5827,9.1624,8.8507,8.3141,8.9913,9.7306,9.859,control
13.6183,8.6274,12.1278,10.6635,10.0959,8.5797,9.1364,8.7934,8.3158,9.1648,9.8929,9.8296,control
12.5893,8.3385,10.5202,9.4681,8.7295,8.5216,9.0568,8.6468,8.3195,8.4208,8.9173,9.3954,control
12.4219,8.2053,10.2085,9.7403,8.719,8.5182,8.7428,8.4454,8.2468,8.2253,8.8102,9.2812,control
12.0954,8.2168,10.114,9.4992,8.7705,8.4635,8.6005,8.5345,8.3591,8.029,8.7016,8.9593,control
13.8119,9.6266,11.7794,11.4147,10.3214,8.6427,9.1026,9.3715,8.202,8.9484,10.189,9.9951,control
13.8107,8.9326,12.186,11.1752,10.3393,8.6635,9.1635,9.398,8.1666,8.975,10.1055,9.7245,control
13.864,8.9288,12.0184,11.4216,10.4022,8.8434,9.1494,9.1228,8.1597,9.1673,10.3792,10.1815,control
13.2649,8.7334,12.4753,10.8109,10.3694,8.9394,9.1529,9.3981,8.2404,9.1019,10.426,10.1348,control
13.4463,8.6677,11.8508,10.8503,10.0766,8.8327,9.2415,9.0703,8.1493,9.2663,10.2874,10.2253,control
12.0131,8.2297,10.1461,9.6326,8.8597,8.629,8.7752,8.7466,8.4026,8.3977,8.7943,8.8632,control
13.0636,8.2722,12.1186,10.3154,10.0393,8.7026,8.8314,9.5409,8.3418,9.0832,9.5994,9.9704,control
13.4202,8.441,11.4936,10.4191,10.0091,8.9629,9.0876,9.028,8.3113,9.4884,9.9786,10.0683,control
12.4412,8.6512,11.1606,10.0563,9.6139,8.7025,8.8901,9.2006,8.3191,8.8572,9.6459,9.3033,control
13.6865,8.9968,11.9538,11.3534,10.6987,9.1438,9.1942,9.4174,8.1245,9.2998,10.342,9.7141,control
13.7142,8.9907,11.9259,11.2201,10.578,8.9988,8.98,9.946,8.2751,9.1914,9.8354,10.1809,control
13.9978,9.2264,12.0802,11.0589,10.7196,9.2415,9.4616,9.3304,8.3043,9.2961,10.4337,10.0963,control
13.6577,8.8602,11.7925,10.8589,10.1532,9.0001,9.1641,9.3676,8.2796,9.2473,10.1197,9.8436,control
13.8342,9.2893,12.0145,10.8769,10.1055,8.859,8.9558,9.6618,8.3494,9.0862,10.3654,9.7368,control
13.788,9.2954,11.9644,11.1376,10.6959,9.2098,9.619,9.321,8.0911,9.2765,10.2484,10.1296,control
13.6897,8.8807,11.655,10.919,10.3031,9.1432,8.7583,9.7662,8.1202,9.181,10.313,9.7231,control
13.6571,8.6456,11.9082,10.8562,10.1391,9.1634,9.2836,9.4628,8.403,9.3208,10.2341,10.1603,control
13.6274,8.8117,11.8014,11.137,10.1728,8.7504,8.9636,9.2626,8.3513,8.9674,9.8699,9.7138,control
12.2514,8.5245,10.8168,9.9804,9.4971,8.7658,8.9031,9.1572,8.3522,8.5473,9.2277,9.5458,control
13.6375,9.0063,11.6112,11.04,10.3447,8.8399,9.0415,9.2344,8.1897,9.0653,10.1667,9.9576,control
13.8426,9.353,11.7771,10.9131,9.867,9.0242,9.5697,9.5345,8.0597,9.8604,10.084,10.5472,control
13.595,9.0403,12.1153,11.6924,10.5313,8.9441,9.3266,9.3272,8.2634,9.2076,10.2755,10.403,control
13.724,9.2004,11.7523,10.999,10.1099,9.0385,9.0021,9.3637,8.1284,9.4576,9.9652,9.5187,control
12.1951,8.2395,10.5888,9.5925,9.0305,8.5342,8.9011,8.8552,8.4569,8.3386,9.0855,9.2145,control
13.4973,9.0521,11.9023,10.7622,10.2681,9.0869,8.8916,9.3181,8.1211,9.2736,9.9621,9.9298,control
13.6375,8.9817,11.6351,10.7191,10.0003,9.0445,9.1192,9.4962,8.1561,9.3845,10.0259,10.0609,control
13.0452,8.5423,10.9031,10.1143,9.7862,8.574,8.5577,8.7851,8.6082,8.117,9.529,9.3899,control
13.8425,8.5477,11.9447,10.8548,10.3784,9.2902,9.3599,8.8409,8.2573,9.0784,9.9492,10.3243,control
12.0872,8.1702,10.132,9.5194,8.7801,8.3796,8.54,8.3962,8.2542,8.1341,8.8544,9.1725,control
13.0576,8.2081,11.2888,10.5344,9.7888,8.8132,8.8455,8.7521,8.2694,8.7788,9.6,10.2258,control
13.1646,8.3851,11.917,10.7792,10.0644,8.7664,8.4626,8.8146,8.3466,8.7371,9.8803,9.5451,control
13.537,8.5805,11.6229,9.4513,10.1477,8.7226,8.9516,9.2292,8.2904,9.0628,9.7056,9.7365,control
13.3822,8.5531,11.8922,10.5699,10.0578,8.8486,8.6669,8.8082,8.5448,8.6614,9.7493,10.0529,control
12.0826,8.2557,10.0821,9.1467,8.7255,8.5743,8.6203,8.4328,8.3688,8.1121,8.4931,9.2876,control
12.6566,8.3664,11.1024,10.3963,9.206,8.505,8.4995,8.3297,9.2248,8.1279,9.138,9.2528,control
13.2603,8.732,11.7319,10.826,9.5723,8.6632,9.2731,8.6962,8.241,8.6449,9.7502,9.8824,control
13.1917,8.4578,11.3661,10.0883,9.838,8.8125,8.1463,8.6196,8.6729,8.491,8.7714,10.2327,Idiopathic Pulmonary Arterial Hypertension
