ILMN_1687526,ILMN_1763364,ILMN_1794233,ILMN_1812970,ILMN_1875248,ILMN_2082762,Results
9.5725,10.62,8.8507,8.9913,8.265,11.1457,control
9.5859,10.6084,8.7934,9.1648,8.7945,11.7188,control
9.1329,9.5347,8.6468,8.4208,8.5512,10.8772,control
8.9398,8.7864,8.4454,8.2253,8.4394,10.2786,control
8.7135,8.7127,8.5345,8.029,8.4529,10.1435,control
10.3205,10.5635,9.3715,8.9484,9.2634,11.6079,control
10.2358,10.9091,9.398,8.975,9.4392,12.0124,control
10.5462,10.4431,9.1228,9.1673,9.454,11.8227,control
9.848,10.41,9.3981,9.1019,8.9888,11.3282,control
9.8372,10.3583,9.0703,9.2663,9.2211,11.728,control
8.7239,9.4885,8.7466,8.3977,8.6941,10.4801,control
9.6535,9.5948,9.5409,9.0832,8.4123,11.2997,control
9.7669,10.1808,9.028,9.4884,8.6665,11.7494,control
9.1675,10.0543,9.2006,8.8572,8.7606,10.8562,control
10.2355,10.8498,9.4174,9.2998,9.1433,11.9896,control
9.7451,10.8248,9.946,9.1914,8.7577,11.7065,control
10.1258,10.6615,9.3304,9.2961,9.0458,12.4349,control
9.8861,10.7116,9.3676,9.2473,9.005,11.8195,control
9.9438,10.4547,9.6618,9.0862,8.9474,12.0045,control
10.0796,10.4355,9.321,9.2765,9.1304,12.1184,control
9.9206,11.0978,9.7662,9.181,9.1855,11.8286,control
10.0034,11.0299,9.4628,9.3208,9.2886,12.2045,control
9.712,10.2754,9.2626,8.9674,9.1076,11.3614,control
8.8957,10.1203,9.1572,8.5473,8.6527,10.7811,control
9.8325,10.8173,9.2344,9.0653,8.8915,11.9934,control
9.9188,11.2131,9.5345,9.8604,8.8947,12.4185,control
10.1953,11.143,9.3272,9.2076,9.53,11.5918,control
9.5826,10.3119,9.3637,9.4576,9.1161,11.9623,control
8.9117,9.6394,8.8552,8.3386,8.5145,10.4858,control
10.0187,10.157,9.3181,9.2736,8.7909,11.9709,control
10.0776,10.1946,9.4962,9.3845,8.8171,12.1058,control
9.2538,10.1328,8.7851,8.117,8.381,10.8827,control
9.6748,10.3307,8.8409,9.0784,8.9023,11.6846,control
