ILMN_1655864,ILMN_1657898,ILMN_1671005,ILMN_1677756,ILMN_1687526,ILMN_1701962,ILMN_1704335,ILMN_1713764,ILMN_1725707,ILMN_1758687,ILMN_1763364,ILMN_1765725,ILMN_1775304,ILMN_1780334,ILMN_1794233,ILMN_1804988,ILMN_1812970,ILMN_1875248,ILMN_2082762,ILMN_2159384,Results
9.1206,8.9263,11.431,9.9916,9.5725,9.0516,9.4571,7.9901,10.5066,9.3814,10.62,10.1923,11.6864,7.8384,8.8507,11.4931,8.9913,8.265,11.1457,9.7306,control
9.662,8.6274,12.1278,10.5783,9.5859,9.2065,9.0469,8.0947,11.0485,9.4561,10.6084,10.4112,11.9138,7.9872,8.7934,11.7038,9.1648,8.7945,11.7188,9.8929,control
8.9047,8.3385,10.5202,9.3776,9.1329,8.3497,8.3345,8.0296,9.667,8.852,9.5347,9.6691,10.9197,7.8565,8.6468,10.1673,8.4208,8.5512,10.8772,8.9173,control
8.7785,8.2053,10.2085,8.4853,8.9398,8.5285,8.4016,8.1067,9.6919,8.772,8.7864,9.3236,10.465,8.0362,8.4454,10.358,8.2253,8.4394,10.2786,8.8102,control
8.4493,8.2168,10.114,8.5531,8.7135,8.4029,8.2367,8.094,9.635,8.8086,8.7127,9.1816,10.2487,8.1085,8.5345,9.8385,8.029,8.4529,10.1435,8.7016,control
9.5994,9.6266,11.7794,9.9247,10.3205,9.3179,9.3778,7.9498,10.9066,9.6383,10.5635,10.9885,12.34,7.8924,9.3715,11.3721,8.9484,9.2634,11.6079,10.189,control
10.1275,8.9326,12.186,10.1213,10.2358,9.3068,9.3392,7.8825,10.8712,9.6011,10.9091,10.7335,12.1561,7.9468,9.398,11.9112,8.975,9.4392,12.0124,10.1055,control
10.0393,8.9288,12.0184,9.9221,10.5462,9.2301,9.3077,7.9065,11.0112,9.62,10.4431,10.9311,12.1914,7.9128,9.1228,12.1611,9.1673,9.454,11.8227,10.3792,control
9.517,8.7334,12.4753,9.9468,9.848,8.9411,9.206,7.8655,11.0492,9.6099,10.41,11.0389,11.8916,8.024,9.3981,11.4347,9.1019,8.9888,11.3282,10.426,control
9.5554,8.6677,11.8508,9.9659,9.8372,8.84,9.5949,7.8256,10.5934,9.2458,10.3583,11.0505,12.3203,7.8895,9.0703,11.9091,9.2663,9.2211,11.728,10.2874,control
8.4361,8.2297,10.1461,9.2969,8.7239,8.3926,8.471,8.08,9.7076,8.9206,9.4885,9.5572,10.724,7.822,8.7466,10.2304,8.3977,8.6941,10.4801,8.7943,control
9.3824,8.2722,12.1186,9.5053,9.6535,8.8826,9.6236,8.371,10.6632,9.1977,9.5948,10.4114,11.4805,8.4227,9.5409,11.067,9.0832,8.4123,11.2997,9.5994,control
9.6012,8.441,11.4936,10.2841,9.7669,8.9607,9.7882,7.9805,10.6046,9.5969,10.1808,10.8747,11.9212,7.8905,9.028,11.9363,9.4884,8.6665,11.7494,9.9786,control
